,human_ncbi_id,xenDB_id,frog_gene_name,frog_gene_description,human gene name,Ensembl GeneIDs,xenDB_geneID,frog_ncbi
0,51095,XB-GENEPAGE-478053,TRNT1,"tRNA nucleotidyl transferase, CCA-adding, 1",TRNT1,ENSG00000072756,XB-GENE-17333245,398421
1,2494,XB-GENEPAGE-478073,NR5A2,nuclear receptor subfamily 5 group A member 2,NR5A2,ENSG00000116833,XB-GENE-865139,397700
2,6899,XB-GENEPAGE-478083,TBX1,T-box 1,TBX1,ENSG00000184058,XB-GENE-6254396,399188
3,9572,XB-GENEPAGE-478093,NR1D1,nuclear receptor subfamily 1 group D member 1,NR1D1,ENSG00000126368,XB-GENE-17334451,108702483
4,4924,XB-GENEPAGE-478103,NUCB1,nucleobindin 1,NUCB1,ENSG00000104805,XB-GENE-865141,414482
5,10412,XB-GENEPAGE-478112,NSA2,"NSA2, ribosome biogenesis homolog",NSA2,ENSG00000164346,XB-GENE-17338298,108707259
6,1452,XB-GENEPAGE-478120,CSNK1A1,casein kinase 1 alpha 1,CSNK1A1,ENSG00000113712,XB-GENE-17345862,380238
7,3223,XB-GENEPAGE-478130,HOXC6,homeobox C6,HOXC6,ENSG00000197757,XB-GENE-865143,394330
8,3039,XB-GENEPAGE-478140,HBA1,hemoglobin subunit alpha 1,HBA1,ENSG00000206172,XB-GENE-865144,397869
9,2661,XB-GENEPAGE-478148,GDF9,growth differentiation factor 9,GDF9,ENSG00000164404,XB-GENE-17345265,108713269
10,2624,XB-GENEPAGE-478164,GATA2,GATA binding protein 2,GATA2,ENSG00000179348,XB-GENE-17344664,108715041
11,6523,XB-GENEPAGE-478174,SLC5A1.2,"solute carrier family 5 (sodium/glucose cotransporter), member 1, gene 2",SLC5A1,ENSG00000100170,XB-GENE-6486655,108707113
12,8470,XB-GENEPAGE-478189,SORBS2,sorbin and SH3 domain containing 2,SORBS2,ENSG00000154556,XB-GENE-17344066,108706615
