"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","G protein-coupled receptor activity","GO:0004930","1.304229307055789e-39","38.88464604508117","836","1141","157","20166","OR6B2,OR6B3,OR14I1,OR6S1,OR6J1,OR6X1,OR6M1,OR6T1,OR6V1,OR6F1,P2RY8,OR10C1,GPR4,C5AR1,C5AR2,GPR32,FPR1,FPR2,FPR3,GPR33,GPR65,OR10A5,OR10A2,OR10A4,OR10A6,OR10A3,C3AR1,OR10A7,OR10P1,F2R,GALR3,FFAR4,OR5V1,OR10H2,OR10H5,OR10H1,GALR1,CCKAR,QRFPR,CCKBR,GPR22,GPR150,OR13A1,FFAR1,FFAR3,GPR42,FFAR2,OR10G3,OR10G2,OR5C1,OR2D2,OR2D3,OR9Q1,OR6Q1,OR9I1,OR9Q2,OR10S1,OR10G6,OR10G4,OR10G9,OR10G8,OR10G7,OR10D3,OR10AD1,OR9K2,RXFP4,OR6P1,GPR25,OR11L1,GPR15,MAS1L,OR10H3,OR10H4,MRGPRG,MRGPRE,OR6A2,MRGPRX3,MRGPRX4,MRGPRX1,MRGPRX2,OR5J2,OR10Q1,OR10W1,OR10V1,GPR152,MRGPRD,MRGPRF,DRD2,CHRM2,OR6B1,OR6Y1,OR14C36,GPR171,P2RY14,GPR87,SSTR4,TAAR5,TAAR2,SPHK2,LTB4R2,LTB4R,HPGD,LINC02210-CRHR1,FZD6,GPR146,TAS2R16,TAS2R4,TAS2R5,TAS2R38,TAS2R39,TAS2R40,TAS2R60,TAS2R41,TAS2R1,RXFP3,GPR151,HRH1,CCR4,CCR8,CCR3,CCR1,CCR2,CCR5,CCRL2,TAAR1,OR5AU1,OR52B4,OR52D1,OR52H1,OR52B6,OR52B2,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,CX3CR1,ACKR2,XCR1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","molecular transducer activity","GO:0060089","3.730198431072382e-34","33.42826806491314","1489","1141","210","20166","OR6B2,OR6B3,OR14I1,OR6S1,OR6J1,LY75,PLA2R1,OR6X1,OR6M1,OR6T1,MRC2,OR6V1,OR6F1,P2RY8,OR10C1,GPR4,C5AR1,C5AR2,GPR32,FPR1,FPR2,FPR3,GPR33,GPR65,OR10A5,OR10A2,OR10A4,OR10A6,OR10A3,C3AR1,OR10A7,OR10P1,F2R,GALR3,FFAR4,OR5V1,OR10H2,OR10H5,OR10H1,GALR1,CCKAR,QRFPR,CCKBR,GPR22,GPR150,DMBT1,OR13A1,FFAR1,FFAR3,GPR42,FFAR2,OR10G3,OR10G2,OR5C1,OR2D2,OR2D3,OR9Q1,OR6Q1,OR9I1,OR9Q2,OR10S1,OR10G6,OR10G4,OR10G9,OR10G8,OR10G7,OR10D3,OR10AD1,OR9K2,RXFP4,OR6P1,GPR25,OR11L1,GPR15,IL1RAPL2,GRIA3,FAS,MAS1L,HLA-DQB2,OR10H3,OR10H4,SIGLEC7,CD33,SIGLEC8,NRXN1,SLC20A1,MRGPRG,MRGPRE,OR6A2,MRGPRX3,MRGPRX4,MRGPRX1,MRGPRX2,OR5J2,OR10Q1,OR10W1,OR10V1,GPR152,MRGPRD,MRGPRF,DRD2,CD300LF,SLC20A2,AHR,CHRM2,OR6B1,OR6Y1,SELE,OR14C36,ITGAX,GPR171,P2RY14,GPR87,SSTR4,IGSF1,HLA-DRB1,TAAR5,TAAR2,CARD8,SPHK2,OSCAR,KIR2DL3,KIR2DL1,KIR2DL4,KIR3DL1,SLC22A17,LTB4R2,LTB4R,DCC,ANTXR1,HPGD,GLRA3,ABCC8,GUCY2D,LINC02210-CRHR1,FZD6,GPR146,TAS2R16,TAS2R4,TAS2R5,TAS2R38,TAS2R39,TAS2R40,TAS2R60,TAS2R41,ADIPOR2,EPHA8,FCAMR,PKD1,TAS2R1,RXFP3,GPR151,GABRG2,HRH1,THRB,CCR4,CCR8,CCR3,CCR1,CCR2,CCR5,CCRL2,NLGN1,TAAR1,OR5AU1,OR52B4,OR52D1,OR52H1,OR52B6,OR52B2,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,PECAM1,MILR1,C17ORF99,CD2,FCRL5,FCRL4,FCRL3,FCRL2,FCRL1,FCRL6,SLAMF8,SLAMF1,CD48,CD244,CX3CR1,ACKR2,XCR1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","signaling receptor activity","GO:0038023","3.730198431072382e-34","33.42826806491314","1489","1141","210","20166","OR6B2,OR6B3,OR14I1,OR6S1,OR6J1,LY75,PLA2R1,OR6X1,OR6M1,OR6T1,MRC2,OR6V1,OR6F1,P2RY8,OR10C1,GPR4,C5AR1,C5AR2,GPR32,FPR1,FPR2,FPR3,GPR33,GPR65,OR10A5,OR10A2,OR10A4,OR10A6,OR10A3,C3AR1,OR10A7,OR10P1,F2R,GALR3,FFAR4,OR5V1,OR10H2,OR10H5,OR10H1,GALR1,CCKAR,QRFPR,CCKBR,GPR22,GPR150,DMBT1,OR13A1,FFAR1,FFAR3,GPR42,FFAR2,OR10G3,OR10G2,OR5C1,OR2D2,OR2D3,OR9Q1,OR6Q1,OR9I1,OR9Q2,OR10S1,OR10G6,OR10G4,OR10G9,OR10G8,OR10G7,OR10D3,OR10AD1,OR9K2,RXFP4,OR6P1,GPR25,OR11L1,GPR15,IL1RAPL2,GRIA3,FAS,MAS1L,HLA-DQB2,OR10H3,OR10H4,SIGLEC7,CD33,SIGLEC8,NRXN1,SLC20A1,MRGPRG,MRGPRE,OR6A2,MRGPRX3,MRGPRX4,MRGPRX1,MRGPRX2,OR5J2,OR10Q1,OR10W1,OR10V1,GPR152,MRGPRD,MRGPRF,DRD2,CD300LF,SLC20A2,AHR,CHRM2,OR6B1,OR6Y1,SELE,OR14C36,ITGAX,GPR171,P2RY14,GPR87,SSTR4,IGSF1,HLA-DRB1,TAAR5,TAAR2,CARD8,SPHK2,OSCAR,KIR2DL3,KIR2DL1,KIR2DL4,KIR3DL1,SLC22A17,LTB4R2,LTB4R,DCC,ANTXR1,HPGD,GLRA3,ABCC8,GUCY2D,LINC02210-CRHR1,FZD6,GPR146,TAS2R16,TAS2R4,TAS2R5,TAS2R38,TAS2R39,TAS2R40,TAS2R60,TAS2R41,ADIPOR2,EPHA8,FCAMR,PKD1,TAS2R1,RXFP3,GPR151,GABRG2,HRH1,THRB,CCR4,CCR8,CCR3,CCR1,CCR2,CCR5,CCRL2,NLGN1,TAAR1,OR5AU1,OR52B4,OR52D1,OR52H1,OR52B6,OR52B2,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,PECAM1,MILR1,C17ORF99,CD2,FCRL5,FCRL4,FCRL3,FCRL2,FCRL1,FCRL6,SLAMF8,SLAMF1,CD48,CD244,CX3CR1,ACKR2,XCR1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","6.974442737416524e-33","32.156490487084234","1272","1141","188","20166","OR6B2,OR6B3,OR14I1,OR6S1,OR6J1,OR6X1,OR6M1,OR6T1,OR6V1,OR6F1,P2RY8,OR10C1,GPR4,C5AR1,C5AR2,GPR32,FPR1,FPR2,FPR3,GPR33,GPR65,OR10A5,OR10A2,OR10A4,OR10A6,OR10A3,C3AR1,OR10A7,OR10P1,F2R,GALR3,FFAR4,OR5V1,OR10H2,OR10H5,OR10H1,GALR1,CCKAR,QRFPR,CCKBR,GPR22,GPR150,OR13A1,FFAR1,FFAR3,GPR42,FFAR2,OR10G3,OR10G2,OR5C1,OR2D2,OR2D3,OR9Q1,OR6Q1,OR9I1,OR9Q2,OR10S1,OR10G6,OR10G4,OR10G9,OR10G8,OR10G7,OR10D3,OR10AD1,OR9K2,RXFP4,OR6P1,GPR25,OR11L1,GPR15,IL1RAPL2,GRIA3,FAS,MAS1L,HLA-DQB2,OR10H3,OR10H4,SIGLEC8,NRXN1,MRGPRG,MRGPRE,OR6A2,MRGPRX3,MRGPRX4,MRGPRX1,MRGPRX2,OR5J2,OR10Q1,OR10W1,OR10V1,GPR152,MRGPRD,MRGPRF,DRD2,CD300LF,CHRM2,OR6B1,OR6Y1,SELE,OR14C36,GPR171,P2RY14,GPR87,SSTR4,HLA-DRB1,TAAR5,TAAR2,SPHK2,OSCAR,KIR2DL4,KIR3DL1,SLC22A17,LTB4R2,LTB4R,DCC,ANTXR1,HPGD,GLRA3,ABCC8,LINC02210-CRHR1,FZD6,GPR146,TAS2R16,TAS2R4,TAS2R5,TAS2R38,TAS2R39,TAS2R40,TAS2R60,TAS2R41,EPHA8,FCAMR,PKD1,TAS2R1,RXFP3,GPR151,GABRG2,HRH1,CCR4,CCR8,CCR3,CCR1,CCR2,CCR5,CCRL2,TAAR1,OR5AU1,OR52B4,OR52D1,OR52H1,OR52B6,OR52B2,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,PECAM1,MILR1,C17ORF99,FCRL5,FCRL4,FCRL3,FCRL2,FCRL1,FCRL6,SLAMF1,CX3CR1,ACKR2,XCR1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","structural constituent of chromatin","GO:0030527","2.900696455059058e-23","22.537497715799272","102","1141","42","20166","H4C2,H4C3,H4C4,H4C5,H4C6,H2AC11,H4C9,H2AC12,H2AC13,H2AC14,H2AC15,H2AC16,H4C13,H2AC17,CENPA,H2AJ,H3-5,H3C13,H4C14,H3C14,H2AC20,H2AC21,H3-3A,H3-4,H3Y2,H3Y1,H2AX,H3C1,H4C1,H3C2,H3C3,H3C6,H4C7,H3C7,H3C8,H4C8,H3C10,H4C11,H4C12,H3C11,H3C12,H4C15"
"GO:MF","olfactory receptor activity","GO:0004984","2.490124295651069e-22","21.60377897436285","398","1141","82","20166","OR6B2,OR6B3,OR14I1,OR6S1,OR6J1,OR6X1,OR6M1,OR6T1,OR6V1,OR6F1,OR10C1,OR10A5,OR10A2,OR10A4,OR10A6,OR10A3,OR10A7,OR10P1,OR5V1,OR10H2,OR10H5,OR10H1,OR13A1,OR10G3,OR10G2,OR5C1,OR2D2,OR2D3,OR9Q1,OR6Q1,OR9I1,OR9Q2,OR10S1,OR10G6,OR10G4,OR10G9,OR10G8,OR10G7,OR10D3,OR10AD1,OR9K2,OR6P1,OR11L1,OR10H3,OR10H4,OR6A2,OR5J2,OR10Q1,OR10W1,OR10V1,OR6B1,OR6Y1,OR14C36,OR5AU1,OR52B4,OR52D1,OR52H1,OR52B6,OR52B2,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","odorant binding","GO:0005549","1.0204080383913603e-18","17.991226128839923","104","1141","38","20166","OR6B2,OR6B3,OR14I1,OR13A1,OR5C1,OR9Q1,OR9I1,OR9Q2,OR11L1,OR5J2,OR10Q1,OR10W1,OR10V1,OR14C36,OR5AU1,OR5AS1,OR5AR1,OR5AK2,OR5B17,OR5B3,OR5B2,OR5B12,OR5B21,OR5AN1,OR5A2,OR5A1,OR8D4,OR8A1,OR5AC2,OR5H1,OR5H14,OR5H15,OR5H6,OR5H2,OR5K4,OR5K3,OR5K1,OR5K2"
"GO:MF","structural molecule activity","GO:0005198","1.3880960828413861e-11","10.857580471342555","1097","1141","125","20166","PLP1,TUBA3C,TUBA3E,TUBA3D,TUBA1B,TUBA1A,TUBA1C,TGM3,CTNNA2,TECTA,COL14A1,TTN,ACTG1,ACTB,TPM1,STX2,TUBB2A,TUBB2B,NUP153,H4C2,H4C3,H4C4,H4C5,H4C6,H2AC11,H4C9,H2AC12,POM121L2,H2AC13,H2AC14,H2AC15,H2AC16,H4C13,H2AC17,CENPA,NUP214,KRT15,POM121L12,POM121,POM121C,ZP3,POMZP3,CLDN15,NPAP1,H2AJ,H3-5,H3C13,H4C14,H3C14,H2AC20,H2AC21,H3-3A,H3-4,TBCE,H3Y2,H3Y1,COL6A6,TUBB1,RPL39,CHADL,VIM,HLA-DRB1,COL11A2,RPL10A,RPL7L1,NEB,RPL37A,TUBA4B,LAMC3,MUC5AC,RPL27A,AHNAK,RPS3,H2AX,KRT10,RPL7,JPH1,MATN2,CROCC,RPS27,RPS4Y1,RPS4Y2,RPS4X,RPL21,RPS24,H3C1,H4C1,H3C2,H3C3,H3C6,H4C7,H3C7,H3C8,H4C8,H3C10,H4C11,H4C12,H3C11,H3C12,RPS18,RPL36,RPS19,RPL18,RPL17-C18ORF32,RPL17,RPL31,RPL9,RPS6,RPL12,RPL7A,MFAP4,RPL23A,RPS20,RPL30,RPS26,RPL6,RPL22,RPL5,H4C15,RPS2,RPS15A,GP2,RPSA,RPL29,RPL35A"
"GO:MF","antigen binding","GO:0003823","1.831261588982718e-11","10.737249613897545","170","1141","39","20166","IGLV2-23,IGLV2-14,IGLV2-11,IGLV2-8,TRAV8-4,IGHV2-5,IGHV2-26,IGHV2-70D,IGHV2-70,IGHV2OR16-5,IGLV3-27,IGLV3-25,IGLV3-19,IGLV3-1,SIRPA,IGHV6-1,IGHV4-4,IGHV4-28,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-59,IGHV4-61,IGHV4OR15-8,HLA-DQB2,PLG,HLA-DRB5,HLA-DRB1,KIR2DL3,IGHM,MFAP4,CD1D,CD1A,CD1C,CD1B,CD1E,SLAMF1,CD48,GP2"
"GO:MF","protein heterodimerization activity","GO:0046982","1.0488929445619351e-9","8.979268835885199","363","1141","57","20166","CFHR5,CEACAM6,CEACAM8,BOK,TPM1,BCL2A1,MCL1,TUBB2B,H4C2,H4C3,H4C4,H4C5,H4C6,H2AC11,H4C9,H2AC12,H2AC13,H2AC14,H2AC15,H2AC16,H4C13,H2AC17,CENPA,AHR,H2AJ,H3-5,H3C13,H4C14,H3C14,H2AC20,H2AC21,H3-3A,H3-4,H3Y2,H3Y1,MAPK4,H2AX,KRT10,CENPS-CORT,MEF2C,SLC51A,H3C1,H4C1,H3C2,H3C3,H3C6,H4C7,H3C7,H3C8,H4C8,H3C10,H4C11,H4C12,H3C11,H3C12,UGT1A1,H4C15"
