"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","extracellular matrix structural constituent conferring tensile strength","GO:0030020","3.771658232011165e-12","11.423467667651655","41","284","13","20166","COL3A1,COL16A1,COL21A1,COL9A2,COL6A1,COL4A1,COL4A2,COL19A1,COL17A1,COL13A1,COL8A1,COL25A1,COL28A1"
"GO:MF","oxidoreduction-driven active transmembrane transporter activity","GO:0015453","9.732953745769747e-8","7.011755340531402","69","284","12","20166","UQCR10,NDUFB9,NDUFA6,ND2,COX1,COX2,COX3,ND3,ND4,ND5,ND6,CYTB"
"GO:MF","electron transfer activity","GO:0009055","0.00006153357709122436","4.21088783762082","120","284","12","20166","UQCR10,NDUFB9,NDUFA6,ND2,COX1,COX2,COX3,ND3,ND4,ND5,ND6,CYTB"
"GO:MF","primary active transmembrane transporter activity","GO:0015399","0.00006417200746287649","4.192654374665281","170","284","14","20166","ABCG5,ABCG8,UQCR10,NDUFB9,NDUFA6,ND2,COX1,COX2,COX3,ND3,ND4,ND5,ND6,CYTB"
"GO:MF","extracellular matrix structural constituent","GO:0005201","0.00008562351396429912","4.067406952815783","174","284","14","20166","COL3A1,COL16A1,COL21A1,COL9A2,UMOD,COL6A1,COL4A1,COL4A2,COL19A1,COL17A1,COL13A1,COL8A1,COL25A1,COL28A1"
"GO:MF","NADH dehydrogenase (ubiquinone) activity","GO:0008137","0.0007116191528502269","3.1477523716262965","41","284","7","20166","NDUFB9,NDUFA6,ND2,ND3,ND4,ND5,ND6"
"GO:MF","NADH dehydrogenase (quinone) activity","GO:0050136","0.0008437305766572251","3.07379621184706","42","284","7","20166","NDUFB9,NDUFA6,ND2,ND3,ND4,ND5,ND6"
"GO:MF","NADH dehydrogenase activity","GO:0003954","0.0011699657260011312","2.9318268606697413","44","284","7","20166","NDUFB9,NDUFA6,ND2,ND3,ND4,ND5,ND6"
"GO:MF","NAD(P)H dehydrogenase (quinone) activity","GO:0003955","0.0013689248011964064","2.863620408200881","45","284","7","20166","NDUFB9,NDUFA6,ND2,ND3,ND4,ND5,ND6"
"GO:MF","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","GO:0016655","0.006904888057256374","2.1608433578543473","57","284","7","20166","NDUFB9,NDUFA6,ND2,ND3,ND4,ND5,ND6"
