Gene Id,Gene Name,Sphenodon punctatus,Anolis carolinensis,Pogona vitticeps,Laticauda laticaudata,Naja naja,Notechis scutatus,Pseudonaja textilis,Varanus komodoensis,Podarcis muralis,Salvator merianae,Pelodiscus sinensis,Chelydra serpentina,Chrysemys picta bellii,Terrapene carolina triunguis,Gopherus agassizii,Gopherus evgoodei,Chelonoidis abingdonii,Pelusios castaneus,Crocodylus porosus,Aquila chrysaetos chrysaetos,Struthio camelus australis,Taeniopygia guttata,Anas platyrhynchos platyrhynchos,Gallus gallus
ENSACAG00000000002,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,0.0
ENSACAG00000000004,,,,,,,,,,,,,,,,0.0,,,,,,,,,
ENSACAG00000000006,PNPLA8,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000007,NRCAM,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000009,CLEC16A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000010,SPOUT1,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000011,TBC1D13,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000012,OLFML2A,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,0.0,
ENSACAG00000000013,ZNF385D,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,0.0
ENSACAG00000000014,SGO1,,,,,0.0,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,
ENSACAG00000000015,KAT2B,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000016,PP2D1,0.0,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000017,RAB5A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000018,EFHB,,,2.0,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000019,KCNH8,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000020,,,,,,,0.0,,,,,,,,,,,,,,,,,,
ENSACAG00000000021,ADIPOR2,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000022,WNT5B,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000024,,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000025,,,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,
ENSACAG00000000026,RAD52,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000027,,0.0,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,
ENSACAG00000000028,WNK1,,,,,,,,,,,,,,,,0.0,,,,,,,,
ENSACAG00000000029,PCGF1,0.0,,,,,,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,
ENSACAG00000000030,SALL2,,,,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,
ENSACAG00000000031,NINJ2,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000032,B4GALNT3,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,3.0
ENSACAG00000000033,CCDC77,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000034,KDM5A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000035,SLC6A13,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
ENSACAG00000000036,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,
ENSACAG00000000037,IQSEC3,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000038,,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000039,DDX11,,3.0,,,,,,,,3.0,3.0,,3.0,,,,,,3.0,,,,,
ENSACAG00000000040,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,1.0,
ENSACAG00000000041,,,,,0.0,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000042,C11orf58,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000043,PLEKHA7,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000044,RPS13,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000045,PIK3C2A,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000046,NUCB2,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
ENSACAG00000000047,KCNJ11,2.0,,,4.0,,,,,,,,4.0,,,4.0,,,,,,,,,
ENSACAG00000000048,ABCC8,,,,,,,,,,,,,,,,,,,,1.0,,,,
ENSACAG00000000051,USH1C,,,,2.0,,,,,,,2.0,,,,,,,,,3.0,,,,
ENSACAG00000000052,OTOG,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000053,,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000054,MYOD1,,,3.0,3.0,,,,,,,3.0,,,,,,,,,,2.0,,3.0,
ENSACAG00000000055,KCNC1,,,,,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000057,TPH1,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,
ENSACAG00000000058,SAAL1,,,,,,,,,,,1.0,,,2.0,,,,,,,,,1.0,
