,logFC,logCPM,PValue,QValue
ENSVKKG00000017415,3.99480283578714,5.63025684070507,2.29290291892357e-27,3.02617327239533e-23
ENSVKKG00000003991,3.46482132648171,6.66006924634115,1.31476314135592e-24,8.67612196980769e-21
ENSVKKG00000008345,3.56534855208862,6.35943642218829,4.79467792659223e-18,2.10933864250548e-14
ENSVKKG00000007241,3.23680723164381,7.63019686083622,1.10822207621972e-17,3.65657874048698e-14
ENSVKKG00000010328,3.52831833483457,7.95888791184857,3.1414339424672503e-17,8.29212903453656e-14
ENSVKKG00000012931,2.92448624802622,7.10960698296299,2.0627908342402499e-16,4.53745223838381e-13
ENSVKKG00000012477,2.89899835921898,7.76142789500778,2.95718034098803e-16,5.57555230576572e-13
ENSVKKG00000015880,3.02807065626251,8.52889979250136,9.68491675733312e-16,1.59776914204103e-12
ENSVKKG00000011557,3.46974680727876,7.75011095378402,1.11242960953655e-12,1.6313162207403802e-09
ENSVKKG00000002426,2.29976511071934,7.88196793367869,5.78548684838532e-11,7.63568554249895e-08
ENSVKKG00000008877,3.59241589084106,7.04122624634681,1.44139640619721e-10,1.72941361536279e-07
ENSVKKG00000018377,2.71424857309272,4.3480452630046,3.26369434919538e-10,3.58951983505671e-07
ENSVKKG00000014231,3.30796158893111,4.61013611866856,4.4934766769671e-10,4.56191578327783e-07
ENSVKKG00000000661,2.41962094287911,6.04778257545744,5.66712457643484e-10,5.34247929712764e-07
ENSVKKG00000002663,8.54868850723829,0.467641599491163,1.6183369537929402e-09,1.42392074107728e-06
ENSVKKG00000014888,3.17056926658114,3.12302085981423,2.0453655545409603e-09,1.59349941015464e-06
ENSVKKG00000008651,3.81562743357955,3.58059372935649,2.05254508051439e-09,1.59349941015464e-06
ENSVKKG00000001107,8.51000632408579,0.432653872450816,2.45180532238766e-09,1.79771814693735e-06
ENSVKKG00000004198,4.19283672316697,1.69859499368142,7.81263740944653e-09,5.42690465946712e-06
ENSVKKG00000013329,4.40437147492306,5.98890703440576,8.726289999752211e-09,5.75847877083649e-06
ENSVKKG00000010115,2.98020617177576,4.09195166267027,1.00828045067872e-08,6.33680256574181e-06
ENSVKKG00000017107,4.37047200013307,2.51202431878194,1.51183791928914e-08,9.06965311762641e-06
ENSVKKG00000006523,1.67942483785535,5.81497844623536,8.34671257732845e-08,4.78956141719917e-05
ENSVKKG00000017224,1.71283914890243,6.34784433448047,9.71703810981492e-08,5.34356120722239e-05
ENSVKKG00000003245,1.72366199991156,6.60925529214446,1.78953922224955e-07,9.44733546209981e-05
ENSVKKG00000006601,2.03494048582728,5.61493384055837,2.01708284846754e-07,0.0001023902285925
ENSVKKG00000007460,3.16420494668635,3.70656323325849,2.6332319413762e-07,0.0001287162783788
ENSVKKG00000006755,1.67743162939815,5.32326734945657,7.00498513629632e-07,0.0003187992890649
ENSVKKG00000009105,1.55547992908677,7.56958795110194,1.03390005071619e-06,0.0004401746086887
ENSVKKG00000003052,1.80925200455979,4.73657377936355,1.4135606414809e-06,0.0005830054170707
ENSVKKG00000004398,2.06420920798972,6.97851644906703,1.55550808950627e-06,0.0006221089625849
ENSVKKG00000013226,2.29997501762792,5.2454390151212,1.71027188324842e-06,0.0006638873033856
ENSVKKG00000013327,2.59300662709713,3.58614455148213,2.13222070575682e-06,0.0007438979807778
ENSVKKG00000002422,1.84573125121513,5.19150766483978,2.01370295840941e-06,0.0007438979807778
ENSVKKG00000003400,1.52997186038493,7.13039052216275,2.1418490126956e-06,0.0007438979807778
ENSVKKG00000007188,1.57687312817847,6.29444550750973,2.24094355519238e-06,0.0007583582831135
ENSVKKG00000004541,3.0677223311736,4.5116296637732,2.61657667582882e-06,0.0008633394741897
ENSVKKG00000008841,5.54173185938509,-0.168291856884083,2.76156975119038e-06,0.0008889560384441
ENSVKKG00000007239,2.2143072937725,5.62069545325603,3.41713908005196e-06,0.0010737952756791
ENSVKKG00000016450,2.7314994729008,2.32373427095412,3.54270482639392e-06,0.0010873632162499
ENSVKKG00000002093,2.3625600393112,5.71617415066729,5.83259188589756e-06,0.0017495124479562
ENSVKKG00000015598,7.85615905762047,-0.145022247072437,6.26494265422741e-06,0.0017974937641411
ENSVKKG00000006768,1.44573666303109,5.52330060012319,6.18020633448447e-06,0.0017974937641411
ENSVKKG00000017755,2.80756482305093,4.7557983880888,6.71189016454489e-06,0.0018454901331596
