Gene Id,Gene Name
ENSACAG00000000630,
ENSACAG00000000645,
ENSACAG00000026445,
ENSACAG00000010423,PRLHR
ENSACAG00000026291,
ENSACAG00000010374,FAM204A
ENSACAG00000010360,RAB11FIP2
ENSACAG00000010339,EMX2
ENSACAG00000010324,PDZD8
ENSACAG00000010212,SLC18A2
ENSACAG00000010205,
ENSACAG00000010197,
ENSACAG00000010155,SHTN1
ENSACAG00000002747,ACTL9
ENSACAG00000005892,
ENSACAG00000004064,TOR4A
ENSACAG00000013568,
ENSACAG00000004065,RPL35
ENSACAG00000010140,ENO4
ENSACAG00000000224,
ENSACAG00000002098,
ENSACAG00000007943,
ENSACAG00000016565,CDKN3
ENSACAG00000000683,SMYD5
ENSACAG00000006488,MTX2
ENSACAG00000024617,
ENSACAG00000010065,HSPA12A
ENSACAG00000000676,PRADC1
ENSACAG00000006543,
ENSACAG00000004127,KCNAB3
ENSACAG00000001830,
ENSACAG00000017904,HOXD3
ENSACAG00000002990,MTMR8
ENSACAG00000009396,UCP3
ENSACAG00000000398,CCT7
ENSACAG00000016585,CNIH1
ENSACAG00000017905,HOXD4
ENSACAG00000023927,
ENSACAG00000017909,HOXD8
ENSACAG00000011397,
ENSACAG00000003002,
ENSACAG00000016607,GMFB
ENSACAG00000004237,
ENSACAG00000017910,HOXD10
ENSACAG00000003014,ASB12
ENSACAG00000000364,FBXO41
ENSACAG00000004271,
ENSACAG00000007282,HOXD11
ENSACAG00000011436,TAS1R1
ENSACAG00000017914,
ENSACAG00000016424,CGRRF1
ENSACAG00000009869,PNLIPRP2
ENSACAG00000017915,HOXD13
ENSACAG00000016355,SAMD4A
ENSACAG00000017916,EVX2
ENSACAG00000004276,CHD3
ENSACAG00000017917,LNPK
ENSACAG00000011517,FHAD1
ENSACAG00000028429,
ENSACAG00000001502,SIK3
ENSACAG00000011572,TMEM51
ENSACAG00000009865,
ENSACAG00000010749,PRDM2
ENSACAG00000010828,DCST1
ENSACAG00000022568,
ENSACAG00000025174,
ENSACAG00000009856,CCDC172
ENSACAG00000001641,APOA4
ENSACAG00000004459,CYB5D1
ENSACAG00000012909,AMMECR1
ENSACAG00000009766,GFRA1
ENSACAG00000004477,NAA38
ENSACAG00000009069,ATRNL1
ENSACAG00000004482,
ENSACAG00000012945,CHRDL1
ENSACAG00000004490,KDM6B
ENSACAG00000001726,ZPR1
ENSACAG00000029266,
ENSACAG00000009282,TRUB1
ENSACAG00000013010,PAK3
ENSACAG00000009309,FAM160B1
ENSACAG00000000226,
ENSACAG00000025068,
ENSACAG00000000401,
ENSACAG00000026111,
ENSACAG00000001884,BUD13
ENSACAG00000014012,
ENSACAG00000011801,SGSM2
ENSACAG00000028251,
ENSACAG00000016979,
ENSACAG00000001926,TAGLN
ENSACAG00000000409,
ENSACAG00000014031,COQ9
ENSACAG00000013131,CAPN6
ENSACAG00000029521,
ENSACAG00000011352,
ENSACAG00000002013,
ENSACAG00000017005,DENND1A
ENSACAG00000009399,ABLIM1
ENSACAG00000011791,MNT
ENSACAG00000021951,
ENSACAG00000028865,
ENSACAG00000025987,
ENSACAG00000014054,DOK4
ENSACAG00000028186,
ENSACAG00000013358,
ENSACAG00000013224,
ENSACAG00000011227,MYLK2
ENSACAG00000012619,
ENSACAG00000013362,
ENSACAG00000011291,TPX2
ENSACAG00000015316,
ENSACAG00000028934,
ENSACAG00000026573,
ENSACAG00000014870,
ENSACAG00000013386,TRPC5
ENSACAG00000002695,
ENSACAG00000015322,ADGRG1
ENSACAG00000006132,
